faction,ability_id,name,unit_ids,flags,text
"adepta-sororitas","abbess-sanctorum","Abbess Sanctorum","morvenn-vahl","","After being attached to a unit: /   -> You can re-roll the Hit roll. /   -> You can re-roll the Wound roll."
"adepta-sororitas","acts-of-faith","Acts of Faith","","","Until the end of the phase, the unit gets -1 to Hit rolls."
"adepta-sororitas","anchorite-sarcophagus","Anchorite Sarcophagus","mortifiers","","Modify this model's Move characteristic to 7."
"adepta-sororitas","angelic-ascent","Angelic Ascent","seraphim-squad","","During the Shooting phase, until the end of the turn, the unit has the Shoot and Scoot ability."
"adepta-sororitas","angelic-judgement","Angelic Judgement","","","During the Shooting phase, for the rest of the battle, all enemy units gain the Detection Range Modifier ability. / Applies to: units with Adepta Sororitas, Infantry, Fly."
"adepta-sororitas","anguish-of-the-unredeemed","Anguish of the Unredeemed","mortifiers","","During the Fight phase, each time this model is destroyed, it can fight before being removed from play."
"adepta-sororitas","attached-unit","Attached Unit","sanctifiers","","After being attached to a unit, the unit gains the Attached Unit Eligibility ability."
"adepta-sororitas","atttached-unit","Atttached Unit","sanctifiers","","After being attached to a unit, the unit gains the Attached Unit Eligibility ability."
"adepta-sororitas","auto-tapestry-of-the-emperor-s-judgement","Auto-Tapestry of the Emperor’s Judgement","aestred-thurga-and-agathae-dolan","","After being attached to a unit, the unit's weapons gain [DEVASTATING WOUNDS]."
"adepta-sororitas","cherub","Cherub","sanctifiers","","Once per battle, you gain 1CP."
"adepta-sororitas","cherubs","Cherubs","retributor-squad","","This model gains the Flavor Text ability."
"adepta-sororitas","clarion-of-urgency","Clarion of Urgency","","","During the Fight phase, in either player's turn, the unit has the To Strategic Reserves ability. / Applies to: units with Canoness with Jump Pack."
"adepta-sororitas","consecrated-ground","Consecrated Ground","battle-sanctum","","Modify the unit's characteristics."
"adepta-sororitas","deadly-demise-1","Deadly Demise 1","mortifiers","","Once per battle: / Roll one D6: on a 6+, each enemy unit within 6"" suffers 1 mortal wound."
